id,date,phase,cluster,strategy,hypothesis,data,test_period,oos_period,oos_cagr,oos_sharpe,max_dd,costs,n_configs,status,file,notes
L01,2026-08-27,legacy,solana-short-horizon,scalper,Short-horizon scalping of new Solana tokens,Solana DEX dry-run logs,2026-08,train/test split,,,,DEX fees + slippage,1,FAIL,bot.py (deleted),+$1.02/trade in-sample -> -$0.12 out-of-sample
L02,2026-08-27,legacy,solana-short-horizon,adaptive re-fit,"Re-fit filters every 15 trades (""learn from mistakes"")",Solana dry-run logs,2026-08,walk-forward,,,,DEX fees,1,FAIL,adaptive_backtest.py,"degraded over time: 1st half -$14, 2nd half -$152"
L03,2026-08-27,legacy,solana-short-horizon,dip-buying,Buy tokens already down at entry,Solana dry-run logs,2026-08,chunked,,,,DEX fees,1,FAIL,backrun_diponly.py,+171% in-sample was dead-token artifact; 2/6 chunks profitable
L04,2026-08-27,legacy,solana-short-horizon,meme breakout,Breakout on new meme pools,GeckoTerminal 5m OHLCV (survivor pools),2026-08,60/40 split,,,,DEX fees,1,FAIL,newcoin_backtest.py (deleted),in +40%/trade PF9 -> out +0.2%/trade PF1.02; n=111
L05,2026-08-27,legacy,solana-short-horizon,meme pullback,Pullback entry on new meme pools,GeckoTerminal 5m OHLCV,2026-08,60/40 split,,,,DEX fees,1,FAIL,newcoin_backtest.py (deleted),-5%/trade both halves
L06,2026-08-27,legacy,solana-short-horizon,tight take-profit,Sell as soon as green,Solana dry-run logs,2026-08,,,,,DEX fees,1,FAIL,tight_tp_test.py; snipe_test.py,every target loses; <6% can't clear round-trip cost
L07,2026-08-27,legacy,copy-trading,insider copy-trade,Copy watchlist wallets,Helius RPC,2026-08,live dry-run 2h45m,,,,,1,INCONCLUSIVE,insider_bot.py (deleted),0 of 132 buys copied (latency wall); no history depth
L08,2026-08-27,legacy,copy-trading,celebrity-tweet sniping,Buy on celebrity token tweets,none (X firehose ~$42k/mo),,,,,,,1,UNTESTABLE,,$TRUMP case study -68% two weeks after listing
L09,2026-08-27,legacy,crypto-trend,20-day momentum (single asset),Hold when close > close 20d ago,Coinbase daily BTC/ETH/SOL,5-11y,,,,,0.3%/side,1,WEAK,classic_strats.py; momentum_bot.py,matched/beat B&H with lower DD; param sweep non-monotonic
L10,2026-08-27,legacy,crypto-trend,momentum basket BTC/ETH/SOL,Inverse-vol weighted 20d momentum,Coinbase daily,~1.6y,,+15%,,-39%,fees modeled,1,WEAK,momentum_basket.py,only 1.6y of data; deadband sweep = overfit fingerprint
